Journal du panier alt - top 15 par capitalisation, a chaque date
Une ligne par changement de composition.

2020-03-13  ada, algo, bch, bsv, cro, ftt, hedg, ht, leo_eth, link, ltc, xlm, xmr, xrp, xtz
2020-03-20  ada, algo, bch, bsv, cro, dash, ftt, hedg, ht, link, ltc, xlm, xmr, xrp, xtz
2020-03-22  ada, algo, bch, bsv, cro, ftt, hedg, ht, leo_eth, link, ltc, xlm, xmr, xrp, xtz
2020-03-24  ada, algo, bch, bsv, cro, ftt, hedg, ht, link, ltc, neo, xlm, xmr, xrp, xtz
2020-03-27  ada, algo, bch, bsv, cro, ftt, hedg, ht, leo_eth, link, ltc, xlm, xmr, xrp, xtz
2020-04-02  ada, algo, bch, bsv, cro, ftt, hedg, ht, link, ltc, neo, xlm, xmr, xrp, xtz
2020-04-22  ada, algo, bch, bsv, cro, dash, ftt, hedg, ht, link, ltc, xlm, xmr, xrp, xtz
2020-04-23  ada, algo, bch, bsv, cro, ftt, hedg, ht, link, ltc, neo, xlm, xmr, xrp, xtz
2020-06-18  ada, algo, bch, bsv, comp, cro, hedg, ht, link, ltc, neo, xlm, xmr, xrp, xtz
2020-06-19  ada, algo, bch, bsv, comp, cro, ftt, hedg, ht, link, ltc, xlm, xmr, xrp, xtz
2020-06-20  ada, algo, bch, bsv, comp, cro, hedg, ht, link, ltc, neo, xlm, xmr, xrp, xtz
2020-06-27  ada, algo, bch, bsv, comp, cro, ftt, hedg, ht, link, ltc, xlm, xmr, xrp, xtz
2020-06-28  ada, algo, bch, bsv, comp, cro, hedg, ht, link, ltc, neo, xlm, xmr, xrp, xtz
2020-07-03  ada, algo, bch, bsv, comp, cro, ftt, hedg, ht, link, ltc, xlm, xmr, xrp, xtz
2020-07-05  ada, algo, bch, bsv, comp, cro, hedg, ht, link, ltc, neo, xlm, xmr, xrp, xtz
2020-07-13  ada, algo, bch, bsv, comp, cro, ftt, hedg, ht, link, ltc, xlm, xmr, xrp, xtz
2020-07-14  ada, algo, bch, bsv, comp, cro, hedg, ht, link, ltc, neo, xlm, xmr, xrp, xtz
2020-07-27  ada, algo, bch, bsv, comp, cro, ftt, hedg, ht, link, ltc, xlm, xmr, xrp, xtz
2020-07-28  ada, algo, bch, bsv, comp, cro, hedg, ht, link, ltc, neo, xlm, xmr, xrp, xtz
2020-08-15  ada, algo, bch, bsv, comp, cro, crv, hedg, ht, link, ltc, xlm, xmr, xrp, xtz
2020-08-17  ada, algo, bch, bsv, comp, cro, crv, hedg, ht, link, ltc, neo, xlm, xrp, xtz
2020-08-20  ada, algo, bch, bsv, comp, cro, crv, dot, hedg, ht, link, ltc, xlm, xrp, xtz
